100000001,testProduct001,App
100000002,testProduct001,Food
100000003,testProduct003,Book
100000004,testProduct004,Games
100000005,testProduct005,Music
100000006,testProduct006,Home
100000007,testProduct007,Health
100000008,testProduct008,Beauty
100000009,testProduct009,mobile phone
100000010,testProduct010,mobile phone
100000011,testProduct011,computer
100000012,testProduct012,PC
100000013,testProduct013,TV
100000014,testProduct014,Audio
100000015,testProduct015,Electronics
100000016,testProduct016,Toys
100000017,testProduct017,Clothing
100000018,testProduct018,Sports
100000019,testProduct019,Outdoors
100000020,testProduct020,Tools
